CountyId,State,County,Poverty
01001,Alabama,Autauga County,13.7
01003,Alabama,Baldwin County,11.8
01005,Alabama,Barbour County,27.2
01007,Alabama,Bibb County,15.2
01009,Alabama,Blount County,15.6
01011,Alabama,Bullock County,28.5
01013,Alabama,Butler County,24.4
01015,Alabama,Calhoun County,18.6
01017,Alabama,Chambers County,18.8
01019,Alabama,Cherokee County,16.1
01021,Alabama,Chilton County,19.4
01023,Alabama,Choctaw County,22.3
01025,Alabama,Clarke County,25.3
01027,Alabama,Clay County,19.1
01029,Alabama,Cleburne County,19.1
01031,Alabama,Coffee County,16.1
01033,Alabama,Colbert County,16.8
01035,Alabama,Conecuh County,26.4
01037,Alabama,Coosa County,14.4
01039,Alabama,Covington County,17.6
01041,Alabama,Crenshaw County,17.6
01043,Alabama,Cullman County,16.4
01045,Alabama,Dale County,19.6
01047,Alabama,Dallas County,31.9
01049,Alabama,DeKalb County,21.5
01051,Alabama,Elmore County,13.5
01053,Alabama,Escambia County,23.8
01055,Alabama,Etowah County,17.9
01057,Alabama,Fayette County,18.1
01059,Alabama,Franklin County,23.0
01061,Alabama,Geneva County,22.5
01063,Alabama,Greene County,38.8
01065,Alabama,Hale County,26.1
01067,Alabama,Henry County,13.7
01069,Alabama,Houston County,18.5
01071,Alabama,Jackson County,19.0
01073,Alabama,Jefferson County,17.6
01075,Alabama,Lamar County,23.1
01077,Alabama,Lauderdale County,16.3
01079,Alabama,Lawrence County,16.6
01081,Alabama,Lee County,22.0
01083,Alabama,Limestone County,14.8
01085,Alabama,Lowndes County,30.2
01087,Alabama,Macon County,25.9
01089,Alabama,Madison County,13.6
01091,Alabama,Marengo County,25.6
01093,Alabama,Marion County,17.6
01095,Alabama,Marshall County,21.0
01097,Alabama,Mobile County,19.3
01099,Alabama,Monroe County,33.7
01101,Alabama,Montgomery County,20.8
01103,Alabama,Morgan County,16.6
01105,Alabama,Perry County,41.9
01107,Alabama,Pickens County,22.9
01109,Alabama,Pike County,26.3
01111,Alabama,Randolph County,18.7
01113,Alabama,Russell County,20.9
01115,Alabama,St. Clair County,13.7
01117,Alabama,Shelby County,8.3
01119,Alabama,Sumter County,36.0
01121,Alabama,Talladega County,19.3
01123,Alabama,Tallapoosa County,21.2
01125,Alabama,Tuscaloosa County,17.3
01127,Alabama,Walker County,21.5
01129,Alabama,Washington County,22.0
01131,Alabama,Wilcox County,31.9
01133,Alabama,Winston County,18.7
02013,Alaska,Aleutians East Borough,16.7
02016,Alaska,Aleutians West Census Area,7.5
02020,Alaska,Anchorage Municipality,8.1
02050,Alaska,Bethel Census Area,27.0
02060,Alaska,Bristol Bay Borough,7.1
02068,Alaska,Denali Borough,15.5
02070,Alaska,Dillingham Census Area,16.6
02090,Alaska,Fairbanks North Star Borough,7.7
02100,Alaska,Haines Borough,8.4
02105,Alaska,Hoonah-Angoon Census Area,11.1
02110,Alaska,Juneau City and Borough,7.4
02122,Alaska,Kenai Peninsula Borough,11.0
02130,Alaska,Ketchikan Gateway Borough,10.6
02150,Alaska,Kodiak Island Borough,9.3
02158,Alaska,Kusilvak Census Area,39.1
02164,Alaska,Lake and Peninsula Borough,16.5
02170,Alaska,Matanuska-Susitna Borough,9.8
02180,Alaska,Nome Census Area,24.9
02185,Alaska,North Slope Borough,10.2
02188,Alaska,Northwest Arctic Borough,25.3
02195,Alaska,Petersburg Borough,7.8
02198,Alaska,Prince of Wales-Hyder Census Area,16.0
02220,Alaska,Sitka City and Borough,9.2
02230,Alaska,Skagway Municipality,5.6
02240,Alaska,Southeast Fairbanks Census Area,13.9
02261,Alaska,Valdez-Cordova Census Area,7.4
